video_uuid	video	frame_count	first_frame	last_frame	global_id
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	29	55	142	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:30
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	28	64	143	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:34
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	5	64	97	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:35
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	11	65	99	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:31
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	10	65	90	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:32
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	25	68	141	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:33
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	39	71	142	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:34
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	2	73	82	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:36
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	17	79	142	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:37
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	28	91	143	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:38
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	32	96	142	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:36
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	18	98	143	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:39
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	5	101	113	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:40
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	6	105	141	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:37
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	2	107	143	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:41
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	12	109	142	5e4d5371-e633-4cb1-8f4a-32119636e8a3:truck:40
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	11	110	140	5e4d5371-e633-4cb1-8f4a-32119636e8a3:truck:41
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	11	111	141	5e4d5371-e633-4cb1-8f4a-32119636e8a3:truck:39
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	5	118	130	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:41
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	7	119	142	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:42
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	3	131	143	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:43
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	2	138	141	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:40
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	2	140	143	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:44
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	92	0	92	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:1
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	108	0	114	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:2
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	29	0	37	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:3
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	9	0	53	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:4
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	2	0	2	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:5
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	0	0	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:6
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	3	0	2	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:7
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	63	0	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:8
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	0	0	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:9
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	3	0	2	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:10
