video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,714 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=46 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,800 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=47 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,889 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=48 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,975 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=49 detections=5
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,058 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=50 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,139 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=51 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,221 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=52 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,301 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=53 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,383 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=54 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,478 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=55 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,562 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=56 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,653 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=57 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,734 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=58 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,817 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=59 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,899 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=60 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:58,983 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=61 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,066 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=62 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,146 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=63 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,228 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=64 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,309 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=65 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,392 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=66 detections=10
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,476 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=67 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,598 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=68 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,680 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=69 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,762 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=70 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,847 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=71 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:59,929 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=72 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,009 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=73 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,101 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=74 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,184 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=75 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,285 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=76 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,364 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=77 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,449 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=78 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,592 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=79 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,675 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=80 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,758 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=81 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,840 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=82 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:00,922 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=83 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,003 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=84 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,086 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=85 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,168 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=86 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,250 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=87 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,333 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=88 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,421 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=89 detections=6
