video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,694 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=550 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,781 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=551 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,860 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=552 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:10,939 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=553 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,018 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=554 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,096 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=555 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,175 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=556 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,255 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=557 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,333 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=558 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,411 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=559 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,498 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=560 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,635 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=561 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,716 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=562 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,797 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=563 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,879 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=564 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:11,961 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=565 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,044 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=566 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,129 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=567 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,272 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=568 detections=3
